Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 9 5 8 0.5790 0.7934 0.9063 0.6610 
2022 9 5 9 0.5779 0.7931 0.9063 0.6610 
2022 9 5 10 0.5767 0.7928 0.9063 0.6611 
2022 9 5 11 0.5756 0.7926 0.9062 0.6611 
2022 9 5 12 0.5745 0.7923 0.9062 0.6612 
2022 9 5 13 0.5734 0.7920 0.9062 0.6612 
2022 9 5 14 0.5722 0.7918 0.9061 0.6613 
2022 9 5 15 0.5711 0.7915 0.9061 0.6613 
2022 9 5 16 0.5700 0.7912 0.9061 0.6613 
2022 9 5 17 0.5689 0.7910 0.9060 0.6614 
2022 9 5 18 0.5678 0.7907 0.9060 0.6614 
2022 9 5 19 0.5666 0.7904 0.9060 0.6615 
2022 9 5 20 0.5655 0.7902 0.9059 0.6615 
2022 9 5 21 0.5644 0.7899 0.9059 0.6615 
2022 9 5 22 0.5633 0.7896 0.9059 0.6616 
2022 9 5 23 0.5622 0.7894 0.9058 0.6616 
2022 9 6 0 0.5610 0.7891 0.9058 0.6617 
2022 9 6 1 0.5599 0.7888 0.9058 0.6617 
2022 9 6 2 0.5588 0.7886 0.9057 0.6618 
2022 9 6 3 0.5577 0.7883 0.9057 0.6618 
2022 9 6 4 0.5566 0.7880 0.9057 0.6618 
2022 9 6 5 0.5555 0.7878 0.9056 0.6619 
2022 9 6 6 0.5544 0.7875 0.9056 0.6619 
2022 9 6 7 0.5533 0.7872 0.9056 0.6620 
2022 9 6 8 0.5522 0.7870 0.9055 0.6620 
2022 9 6 9 0.5511 0.7867 0.9055 0.6620 
2022 9 6 10 0.5500 0.7864 0.9055 0.6621 
2022 9 6 11 0.5489 0.7862 0.9054 0.6621 
2022 9 6 12 0.5478 0.7859 0.9054 0.6622 
2022 9 6 13 0.5467 0.7856 0.9053 0.6622 
2022 9 6 14 0.5456 0.7854 0.9053 0.6622 
2022 9 6 15 0.5445 0.7851 0.9053 0.6623 
2022 9 6 16 0.5434 0.7848 0.9052 0.6623 
2022 9 6 17 0.5424 0.7846 0.9052 0.6624 
2022 9 6 18 0.5413 0.7843 0.9052 0.6624 
2022 9 6 19 0.5402 0.7840 0.9051 0.6625 
2022 9 6 20 0.5391 0.7838 0.9051 0.6625 
2022 9 6 21 0.5380 0.7835 0.9051 0.6625 
2022 9 6 22 0.5369 0.7833 0.9050 0.6626 
2022 9 6 23 0.5358 0.7830 0.9050 0.6626 
2022 9 7 0 0.5347 0.7827 0.9050 0.6627 
2022 9 7 1 0.5336 0.7825 0.9049 0.6627 
2022 9 7 2 0.5326 0.7822 0.9049 0.6627 
2022 9 7 3 0.5315 0.7819 0.9049 0.6628 
2022 9 7 4 0.5304 0.7817 0.9048 0.6628 
2022 9 7 5 0.5293 0.7814 0.9048 0.6629 
2022 9 7 6 0.5282 0.7811 0.9048 0.6629 
2022 9 7 7 0.5271 0.7809 0.9047 0.6629 
2022 9 7 8 0.5260 0.7806 0.9047 0.6630 
2022 9 7 9 0.5249 0.7803 0.9047 0.6630 
2022 9 7 10 0.5238 0.7801 0.9046 0.6631 
2022 9 7 11 0.5227 0.7798 0.9046 0.6631 
2022 9 7 12 0.5217 0.7795 0.9046 0.6631 
2022 9 7 13 0.5206 0.7793 0.9045 0.6632 
2022 9 7 14 0.5195 0.7790 0.9045 0.6632 
2022 9 7 15 0.5184 0.7787 0.9045 0.6633 
2022 9 7 16 0.5173 0.7785 0.9044 0.6633 
2022 9 7 17 0.5162 0.7782 0.9044 0.6633 
2022 9 7 18 0.5151 0.7779 0.9044 0.6634 
2022 9 7 19 0.5140 0.7777 0.9043 0.6634 
2022 9 7 20 0.5129 0.7774 0.9043 0.6635 
2022 9 7 21 0.5118 0.7771 0.9042 0.6635 
