CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 5 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 5 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 6 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 7 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 8 23 3.2000 0.04608000 3.2000 0.0000 
