RESERVOIR node 14 TROLLDAMMEN
reservoir_init_fr= 0.55000  init_masl=209.750
Filling at HRW [Mm3] = 75.59813
Filling at LRW [Mm3] = 12.59969
Active reservoir capacity [Mm3] = 62.99844
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s]   [m3/s]    [m3/s]     [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin pump_in pump_out tot_inflow tot_outflow
2026 1 16 8 4.5670 24.0000 0.0000 19.8750 48.5867 210.2809 0.5712 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 9.0000 24.4420 49.0000 
2026 1 16 9 4.6460 29.3100 0.0000 19.0980 48.4958 210.2448 0.5698 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 9.0000 23.7440 49.0000 
2026 1 16 10 4.7500 35.0000 0.0000 18.5025 48.4355 210.2209 0.5688 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.2525 40.0000 
2026 1 16 11 4.8710 40.6900 0.0000 18.1275 48.3743 210.1966 0.5679 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 22.9985 40.0000 
2026 1 16 12 5.0000 46.0000 0.0000 18.0000 48.4571 210.2295 0.5692 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.0000 0.0000 
2026 1 16 13 5.1290 50.5600 0.0000 18.1275 48.5408 210.2627 0.5705 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.2565 0.0000 
2026 1 16 14 5.2500 54.0500 0.0000 18.5025 48.6263 210.2966 0.5719 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.7525 0.0000 
2026 1 16 15 5.3540 56.2500 0.0000 19.0980 48.7143 210.3316 0.5733 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 24.4520 0.0000 
2026 1 16 16 5.4330 57.0000 0.0000 19.8750 48.8054 210.3677 0.5747 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 25.3080 0.0000 
2026 1 16 17 5.4830 56.2500 0.0000 20.7795 48.9000 210.4052 0.5762 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 26.2625 0.0000 
2026 1 16 18 5.5000 54.0500 0.0000 21.7500 48.9981 210.4442 0.5778 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 27.2500 0.0000 
2026 1 16 19 5.4830 50.5600 0.0000 22.7205 49.0996 210.4845 0.5794 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 28.2035 0.0000 
2026 1 16 20 5.4330 46.0000 0.0000 23.6250 49.2042 210.5260 0.5810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 29.0580 0.0000 
2026 1 16 21 5.3540 40.6900 0.0000 24.4020 49.3113 210.5685 0.5827 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 29.7560 0.0000 
2026 1 16 22 5.2500 35.0000 0.0000 24.9975 49.4202 210.6117 0.5845 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 30.2475 0.0000 
2026 1 16 23 5.1290 29.3100 0.0000 25.3725 49.5300 210.6553 0.5862 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 30.5015 0.0000 
2026 1 17 0 5.0000 24.0000 0.0000 25.5000 49.6218 210.6917 0.5877 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 65.5000 40.0000 
2026 1 17 1 4.8710 19.4400 0.0000 25.3725 49.7127 210.7278 0.5891 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 65.2435 40.0000 
2026 1 17 2 4.7500 15.9500 0.0000 24.9975 49.8018 210.7631 0.5905 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 64.7475 40.0000 
2026 1 17 3 4.6460 13.7500 0.0000 24.4020 49.8884 210.7975 0.5919 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 64.0480 40.0000 
2026 1 17 4 4.5670 13.0000 0.0000 23.6250 49.9719 210.8306 0.5932 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 63.1920 40.0000 
2026 1 17 5 4.5170 13.7500 0.0000 22.7205 50.0519 210.8624 0.5945 0.0000 40.0000 0.0000 0.0000 0.0000 35.0000 0.0000 62.2375 40.0000 
2026 1 17 6 4.5000 15.9500 0.0000 21.7500 49.9700 210.8299 0.5932 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 9.0000 26.2500 49.0000 
2026 1 17 7 4.5170 19.4400 0.0000 20.7795 49.8847 210.7960 0.5918 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 9.0000 25.2965 49.0000 
2026 1 17 8 4.5670 24.0000 0.0000 19.8750 49.7963 210.7609 0.5904 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 9.0000 24.4420 49.0000 
2026 1 17 9 4.6460 29.3100 0.0000 19.0980 49.7054 210.7248 0.5890 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 9.0000 23.7440 49.0000 
2026 1 17 10 4.7500 35.0000 0.0000 18.5025 49.6451 210.7009 0.5880 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.2525 40.0000 
2026 1 17 11 4.8710 40.6900 0.0000 18.1275 49.5839 210.6766 0.5871 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 22.9985 40.0000 
2026 1 17 12 5.0000 46.0000 0.0000 18.0000 49.5227 210.6523 0.5861 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.0000 40.0000 
2026 1 17 13 5.1290 50.5600 0.0000 18.1275 49.4624 210.6284 0.5851 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.2565 40.0000 
2026 1 17 14 5.2500 54.0500 0.0000 18.5025 49.4039 210.6052 0.5842 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 23.7525 40.0000 
2026 1 17 15 5.3540 56.2500 0.0000 19.0980 49.3479 210.5830 0.5833 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 24.4520 40.0000 
2026 1 17 16 5.4330 57.0000 0.0000 19.8750 49.2950 210.5620 0.5825 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 25.3080 40.0000 
2026 1 17 17 5.4830 56.2500 0.0000 20.7795 49.2456 210.5424 0.5817 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 26.2625 40.0000 
2026 1 17 18 5.5000 54.0500 0.0000 21.7500 49.1997 210.5242 0.5810 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 27.2500 40.0000 
2026 1 17 19 5.4830 50.5600 0.0000 22.7205 49.1572 210.5073 0.5803 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 28.2035 40.0000 
2026 1 17 20 5.4330 46.0000 0.0000 23.6250 49.1178 210.4917 0.5797 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 29.0580 40.0000 
2026 1 17 21 5.3540 40.6900 0.0000 24.4020 49.0809 210.4770 0.5791 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 29.7560 40.0000 
2026 1 17 22 5.2500 35.0000 0.0000 24.9975 49.0458 210.4631 0.5785 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 30.2475 40.0000 
2026 1 17 23 5.1290 29.3100 0.0000 25.3725 49.0116 210.4495 0.5780 0.0000 40.0000 0.0000 0.0000 0.0000 0.0000 0.0000 30.5015 40.0000 
