RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.67000  masl=754.380
Filling at HRW [Mm3] = 12.03297
Filling at LRW [Mm3] = 3.00824
Active reservoir capacity [Mm3] = 9.02473
outlet_auto_qmin_masl [masl] = 745.500
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2026 5 8 14 0.0000 12.0000 0.0000 0.0000 9.3225 754.2970 0.6997 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 8 15 0.0000 11.0000 0.0000 0.0000 9.3182 754.2927 0.6992 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 8 16 4.0000 8.0000 0.0000 0.0000 9.3283 754.3027 0.7003 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 8 17 8.0000 15.0000 0.0000 0.0000 9.3527 754.3271 0.7030 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 8 18 19.0000 12.0000 0.0000 0.0000 9.4168 754.3910 0.7101 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 8 19 3.0000 15.0000 0.0000 0.0000 9.4233 754.3975 0.7108 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 8 20 0.0000 13.0000 0.0000 0.0000 9.4190 754.3932 0.7104 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 8 21 0.0000 14.0000 0.0000 0.0000 9.4147 754.3889 0.7099 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 8 22 0.0000 17.0000 0.0000 0.0000 9.4103 754.3846 0.7094 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
2026 5 8 23 0.0000 16.0000 0.0000 0.0000 9.4060 754.3803 0.7089 0.0000 0.0000 0.0000 0.0000 1.2000 1.2000 
